gene_id,SRR10720226,SRR10720227,SRR10720228,SRR10720229,SRR10720230,SRR10720231
ENSG00000000003.15,92,94,660,2010,2527,163
ENSG00000000005.6,4,5,0,0,9,0
ENSG00000000419.12,1431,1053,1314,1331,1711,1122
ENSG00000000457.14,1159,971,1896,1172,2150,1178
ENSG00000000460.17,148,141,445,278,263,53
ENSG00000000938.13,24,32,39,215,43,30
ENSG00000000971.16,365,733,2767,6959,559,347
ENSG00000001036.14,404,1447,718,1269,2129,4071
ENSG00000001084.13,3598,4579,3672,2461,2697,1175
ENSG00000001167.14,3766,1756,4558,3001,1612,843
ENSG00000001460.18,902,524,499,281,561,235
ENSG00000001461.17,4594,6429,2429,1998,4446,1131
ENSG00000001497.16,638,667,804,733,1466,1150
ENSG00000001561.7,13456,12384,17077,4597,9784,3997
ENSG00000001617.12,206,191,235,260,98,126
ENSG00000001626.16,19,0,14,2052,65,47
ENSG00000001629.10,10985,7460,6357,6703,3368,3078
ENSG00000001630.17,8799,15803,6935,6964,6049,6300
ENSG00000001631.15,3613,3060,2953,2671,4094,3107
ENSG00000002016.18,664,653,957,768,981,394
ENSG00000002079.14,14,0,8,13,3,6
ENSG00000002330.13,713,666,445,543,579,642
ENSG00000002549.12,916,2218,1688,4053,1553,1403
ENSG00000002586.20,256,1407,1047,948,321,2357
ENSG00000002586.20_PAR_Y,0,0,0,0,0,0
ENSG00000002587.10,1653,42,3010,622,812,202
ENSG00000002726.20,6,0,5,12,0,5
ENSG00000002745.13,0,0,7,53,5,0
ENSG00000002746.15,10,2,2,36,119,194
ENSG00000002822.15,387,293,261,362,415,536
ENSG00000002834.18,3503,16034,8039,4726,6730,7294
ENSG00000002919.14,1237,1128,647,590,1073,1590
ENSG00000002933.9,1108,8111,2047,1248,1779,7095
ENSG00000003056.8,4568,5078,5419,5609,7491,4415
ENSG00000003096.14,216,54,15,142,1167,418
ENSG00000003137.8,114,256,71,346,149,21
ENSG00000003147.19,2111,51,1609,1847,1907,1524
ENSG00000003249.14,537,1243,186,195,205,324
ENSG00000003393.15,2268,1261,1778,1277,2428,1118
ENSG00000003400.15,74,164,156,1195,143,201
ENSG00000003402.20,1729,7761,2458,8096,1056,1769
ENSG00000003436.16,629,337,7331,13902,281,164
ENSG00000003509.16,679,550,888,742,539,651
ENSG00000003756.17,8251,3330,3863,4854,10858,6117
ENSG00000003987.14,4682,2711,12069,2630,4358,2425
ENSG00000003989.17,1208,58,6575,2186,6283,4426
ENSG00000004059.11,2755,2058,1855,2136,2181,4216
ENSG00000004139.14,2117,5510,1444,1786,2321,2936
ENSG00000004142.12,1887,2911,1716,1838,1793,3582
ENSG00000004399.12,2626,1081,2862,3180,5040,2232
ENSG00000004455.17,4433,4521,3431,10497,6987,4799
ENSG00000004468.13,31,74,59,1240,161,70
ENSG00000004478.8,3435,4785,2547,2892,2866,3886
ENSG00000004487.16,2236,1720,2692,1596,4107,1678
ENSG00000004534.15,5386,3512,2621,5252,5280,2753
ENSG00000004660.15,214,67,294,235,582,405
ENSG00000004700.16,1692,1878,1785,2449,1188,422
ENSG00000004766.17,2537,1592,1383,1559,2232,1552
ENSG00000004776.13,78,153,117,84,31,51
ENSG00000004777.18,352,330,319,221,700,565
ENSG00000004779.10,957,2305,911,862,1335,1493
ENSG00000004799.8,2280,1213,806,1829,3856,12498
ENSG00000004809.14,23,5,0,13,9,0
ENSG00000004838.14,12,29,13,35,175,9
ENSG00000004846.16,0,0,6,19,0,0
ENSG00000004848.8,17,1284,17,3,14,0
ENSG00000004864.13,2431,2289,972,1427,653,1082
ENSG00000004866.20,1267,737,1440,1276,2412,2281
ENSG00000004897.12,5520,6840,5694,4544,5761,3971
ENSG00000004939.15,0,3,5,16,0,0
ENSG00000004948.15,42,8,18,10,4,0
ENSG00000004961.15,731,1696,604,842,2075,2189
ENSG00000004975.12,1242,635,851,742,897,814
ENSG00000005001.10,206,60,79,295,110,56
ENSG00000005007.12,2278,2120,2586,1909,2568,1469
ENSG00000005020.13,440,237,2033,3042,242,2531
ENSG00000005022.6,2455,6172,3321,4693,2395,5204
ENSG00000005059.16,439,247,95,505,86,50
ENSG00000005073.6,0,0,52,0,0,0
ENSG00000005075.15,969,689,562,495,807,1276
ENSG00000005100.13,1026,874,1629,1320,1514,1150
ENSG00000005102.14,4,5,3,56,17,8
ENSG00000005108.16,8581,350,96,964,5753,2957
ENSG00000005156.12,987,864,820,976,1248,841
ENSG00000005175.10,2308,1581,1066,1663,2659,919
ENSG00000005187.12,36,173,4,729,30,1261
ENSG00000005189.19,268,1572,251,251,204,101
ENSG00000005194.15,1458,1082,705,1045,927,1235
ENSG00000005206.17,3106,901,1245,1826,727,2104
ENSG00000005238.19,467,578,316,410,363,458
