IlmnID	Strand	UCSC_RefGene_Name	UCSC_RefGene_Accession	class
cg13387113	R	MXRA7;MXRA7;MXRA7	NM_001008528;NM_001008529;NM_198530	Enhancer
cg04173586	R	DOT1L	NM_032482	Enhancer
cg22473620	F			Enhancer
cg22471075	F			Enhancer
cg15123562	F			Enhancer
cg07931391	F			Enhancer
cg05304177	F	AMOTL2	NM_016201	Enhancer
cg22817352	F	LRRN2;LRRN2	NM_006338;NM_201630	Enhancer
cg26681770	F	PMEPA1;PMEPA1;PMEPA1;PMEPA1	NM_199171;NM_199170;NM_199169;NM_020182	Enhancer
cg09062708	R	NFIA;NFIA;NFIA;NFIA	NM_001145512;NM_001145511;NM_001134673;NM_005595	Enhancer
cg06127256	F			Enhancer
cg24679890	F	MYO9B;MYO9B	NM_001130065;NM_004145	Enhancer
cg16151651	R			Enhancer
cg01324372	F			Enhancer
cg16455791	R			Enhancer
cg09129067	R			Enhancer
cg00971050	R	PTRF	NM_012232	Enhancer
cg10207553	F	SPG21;SPG21;SPG21	NM_001127889;NM_001127890;NM_016630	Enhancer
cg02276807	F			Enhancer
cg25153741	F	COL23A1	NM_173465	Enhancer
cg13667243	F	ADAM19	NM_033274	Enhancer
cg14197503	F			Enhancer
cg15575375	F	NFIA;NFIA;NFIA;NFIA	NM_001145512;NM_001145511;NM_001134673;NM_005595	Enhancer
cg24145118	F			Enhancer
cg19401033	F			Enhancer
cg19798702	R	BDH1;BDH1;BDH1	NM_203314;NM_203315;NM_004051	Enhancer
cg10804656	F			Enhancer
cg25461827	F			Enhancer
cg26203572	F			Enhancer
cg13990926	R			Enhancer
cg04609499	F			Enhancer
cg15057061	R	SOX2OT	NR_004053	Enhancer
cg02397720	F			Enhancer
cg05376465	R			Enhancer
cg22549041	F	CYP1A1	NM_000499	Enhancer
cg17479501	R	TBCD	NM_005993	Enhancer
cg21041888	R	FAT1	NM_005245	Enhancer
cg20455854	R	CXXC5	NM_016463	Enhancer
cg06833110	R	MEIS1	NM_002398	Enhancer
cg22042833	F	FLJ22536	NR_015410	Enhancer
cg13423759	R			Enhancer
cg25363807	R	ERI3	NM_024066	Enhancer
cg12163532	R			Enhancer
cg00765312	R	ALX1	NM_006982	Enhancer
cg21303655	F	KCND3;KCND3	NM_172198;NM_004980	Enhancer
cg07665510	R	CUEDC1	NM_017949	Enhancer
cg18031663	F	E2F7	NM_203394	Enhancer
cg00778807	R			Enhancer
cg05321361	R	IRX2;IRX2	NM_033267;NM_001134222	Enhancer
cg07141605	F			Enhancer
cg16239482	F	SOX2OT	NR_004053	Enhancer
cg18242131	F			Enhancer
cg08446038	R	ITGA2	NM_002203	Enhancer
cg04659689	F			Enhancer
cg22894896	R	MIR193A	NR_029710	Enhancer
cg00334245	R			Enhancer
cg19998150	F	FRMD4A	NM_018027	Enhancer
cg16088539	R			Enhancer
cg02378006	F	UNC5B	NM_170744	Enhancer
cg09035995	R	MCPH1	NM_024596	Enhancer
cg23244910	R			Enhancer
cg02235562	R			Enhancer
cg13570656	F	CYP1A1	NM_000499	Enhancer
cg16345795	F			Enhancer
cg19467964	R	TBCD	NM_005993	Enhancer
cg13133835	F			Enhancer
cg00558718	F	HGD	NM_000187	Enhancer
cg04839259	R	TACC2;TACC2	NM_206862;NM_206861	Enhancer
cg25250968	R	NEDD9	NM_001142393	Enhancer
cg22721998	R			Enhancer
cg23257934	F			Enhancer
cg11600734	R	ITPR1;ITPR1;ITPR1;EGOT	NM_002222;NM_001099952;NM_001168272;NR_004428	Enhancer
cg27336068	R	ADARB2	NM_018702	Enhancer
cg21609154	F	MCF2L	NM_001112732	Enhancer
cg15010554	F			Enhancer
cg16966315	F			Enhancer
cg20512711	F			Enhancer
cg08827060	F			Enhancer
cg05115862	F			Enhancer
cg09322259	R			Enhancer
cg17130457	R			Enhancer
cg08668199	F			Enhancer
cg05457730	R			Enhancer
cg05735180	F			Enhancer
cg08847775	F			Enhancer
cg17775989	R	NTF3	NM_001102654	Enhancer
cg24932457	R	TNR	NM_003285	Enhancer
cg02799411	R	ITPR1;ITPR1;ITPR1;EGOT	NM_002222;NM_001099952;NM_001168272;NR_004428	Enhancer
cg12666727	F	HIVEP3;HIVEP3	NM_024503;NM_001127714	Enhancer
cg23299919	R	PTPRN2;PTPRN2;PTPRN2	NM_002847;NM_130842;NM_130843	Enhancer
cg19945931	F			Enhancer
cg19825856	R	ST6GAL2;ST6GAL2;ST6GAL2	NM_001142352;NM_032528;NM_001142351	Enhancer
cg24216596	R	WNT5A	NM_003392	Enhancer
cg18141830	F	SLC35D3	NM_001008783	Enhancer
cg01461856	F			Enhancer
cg03023152	R	GRHL2	NM_024915	Enhancer
cg05770030	R			Enhancer
cg12477370	R	RUNX2;RUNX2;RUNX2	NM_001015051;NM_001024630;NM_004348	Enhancer
cg17172308	R			Enhancer
cg20286956	R	MACF1	NM_012090	Enhancer
cg07861448	R	MSC	NM_005098	Enhancer
cg20904489	F	NRN1	NM_016588	Enhancer
cg19033943	F	C7orf50;C7orf50;C7orf50	NM_001134395;NM_032350;NM_001134396	Enhancer
cg19709468	F			Enhancer
cg23391288	R			Enhancer
cg03179291	R	CAMKK1;CAMKK1;CAMKK1	NM_172207;NM_172206;NM_032294	Enhancer
cg03441452	R			Enhancer
cg11213690	F			Enhancer
cg04625338	R	EGFR;EGFR;EGFR;EGFR	NM_201283;NM_201284;NM_201282;NM_005228	Enhancer
cg10578777	F			Enhancer
cg06232466	R	CACNA1H;CACNA1H	NM_021098;NM_001005407	Enhancer
cg21056706	R			Enhancer
cg02468627	R	PPAP2B;PPAP2B	NM_177414;NM_003713	Enhancer
cg25720793	F	F11R	NM_016946	Enhancer
cg05616999	F	RIPK4	NM_020639	Enhancer
cg25834768	R	CAMKK1;CAMKK1;CAMKK1	NM_172207;NM_172206;NM_032294	Enhancer
cg11173941	F	IRX2;IRX2	NM_033267;NM_001134222	Enhancer
cg01765111	R			Enhancer
cg23352146	F	TEAD1	NM_021961	Enhancer
cg14133945	F			Enhancer
cg07479618	R	RNMTL1	NM_018146	Enhancer
cg10365984	R	BACH2;BACH2	NM_021813;NM_001170794	Enhancer
cg25122233	R	HOXC4;HOXC5;HOXC6	NM_014620;NR_003084;NM_153693	Enhancer
cg27280535	R	MFHAS1	NM_004225	Enhancer
cg08555866	R			Enhancer
cg11977716	F	NFATC1;NFATC1;NFATC1;NFATC1	NM_006162;NM_172388;NM_172389;NM_172387	Enhancer
cg17171407	R	TNFRSF11B	NM_002546	Enhancer
cg02259324	R			Enhancer
cg07902749	R			Enhancer
cg23842109	R			Enhancer
cg04178634	F	GNG7	NM_052847	Enhancer
cg02524112	F			Enhancer
cg17165580	R	CRABP2	NM_001878	Enhancer
cg20593826	R			Enhancer
cg12222949	F	GLT25D2	NM_015101	Enhancer
cg14255824	F	TJP2;TJP2;TJP2;TJP2	NM_001170630;NM_001170414;NM_201629;NM_004817	Enhancer
cg14604066	F			Enhancer
cg03610228	R			Enhancer
cg09657173	R			Enhancer
cg20851030	R			Enhancer
cg23950788	R	C7orf16;C7orf16	NM_006658;NM_001145123	Enhancer
