source	type	gene_id	gene_type	gene_name	hgnc_id	havana_gene	transcript_id	transcript_type	transcript_name
HAVANA	gene	ENSG00000258663	lncRNA	AL117190.2	NA	OTTHUMG00000171671.1	ENST00000554041.1	lncRNA	AL117190.2-201
HAVANA	gene	ENSG00000091583	protein_coding	APOH	HGNC:616	OTTHUMG00000179530.5	ENST00000577982.1	protein_coding	APOH-202
HAVANA	gene	ENSG00000165970	protein_coding	SLC6A5	HGNC:11051	OTTHUMG00000166024.3	ENST00000528440.1	processed_transcript	SLC6A5-203
HAVANA	gene	ENSG00000134240	protein_coding	HMGCS2	HGNC:5008	OTTHUMG00000012101.4	ENST00000476640.1	processed_transcript	HMGCS2-203
HAVANA	gene	ENSG00000106341	protein_coding	PPP1R17	HGNC:16973	OTTHUMG00000128629.3	ENST00000498609.1	processed_transcript	PPP1R17-203
HAVANA	gene	ENSG00000118271	protein_coding	TTR	HGNC:12405	OTTHUMG00000131984.4	ENST00000541025.2	retained_intron	TTR-203
HAVANA	gene	ENSG00000286190	protein_coding	AC055839.2	NA	OTTHUMG00000193519.1	ENST00000568641.1	protein_coding	AC055839.2-201
HAVANA	gene	ENSG00000134443	protein_coding	GRP	HGNC:4605	OTTHUMG00000132760.5	ENST00000530323.1	protein_coding	GRP-205
HAVANA	gene	ENSG00000170893	protein_coding	TRH	HGNC:12298	OTTHUMG00000159634.4	ENST00000302649.4	protein_coding	TRH-201
HAVANA	gene	ENSG00000127831	protein_coding	VIL1	HGNC:12690	OTTHUMG00000133112.6	ENST00000419986.1	protein_coding	VIL1-203
HAVANA	gene	ENSG00000230551	lncRNA	AC021078.1	NA	OTTHUMG00000163462.2	ENST00000499521.2	retained_intron	AC021078.1-201
HAVANA	gene	ENSG00000145321	protein_coding	GC	HGNC:4187	OTTHUMG00000129915.5	ENST00000506245.1	protein_coding	GC-206
HAVANA	gene	ENSG00000171564	protein_coding	FGB	HGNC:3662	OTTHUMG00000150331.3	ENST00000473984.1	retained_intron	FGB-203
HAVANA	gene	ENSG00000198758	protein_coding	EPS8L3	HGNC:21297	OTTHUMG00000011651.2	ENST00000477568.1	processed_transcript	EPS8L3-206
ENSEMBL	gene	ENSG00000198183	protein_coding	BPIFA1	HGNC:15749	OTTHUMG00000032243.4	ENST00000618484.1	protein_coding	BPIFA1-204
HAVANA	gene	ENSG00000139352	protein_coding	ASCL1	HGNC:738	OTTHUMG00000169967.2	ENST00000266744.4	protein_coding	ASCL1-201
HAVANA	gene	ENSG00000171540	protein_coding	OTP	HGNC:8518	OTTHUMG00000102171.5	ENST00000515716.1	processed_transcript	OTP-202
HAVANA	gene	ENSG00000241388	lncRNA	HNF1A-AS1	HGNC:26785	OTTHUMG00000185474.3	ENST00000535301.2	lncRNA	HNF1A-AS1-202
HAVANA	gene	ENSG00000168878	protein_coding	SFTPB	HGNC:10801	OTTHUMG00000130181.7	ENST00000473692.1	retained_intron	SFTPB-204
HAVANA	gene	ENSG00000203618	protein_coding	GP1BB	HGNC:4440	OTTHUMG00000150397.3	ENST00000366425.4	protein_coding	GP1BB-201
HAVANA	gene	ENSG00000142484	protein_coding	TM4SF5	HGNC:11857	OTTHUMG00000090776.4	ENST00000270560.4	protein_coding	TM4SF5-201
HAVANA	gene	ENSG00000277586	protein_coding	NEFL	HGNC:7739	OTTHUMG00000134284.9	ENST00000615973.1	retained_intron	NEFL-202
HAVANA	gene	ENSG00000198743	protein_coding	SLC5A3	HGNC:11038	OTTHUMG00000065821.4	ENST00000381151.5	protein_coding	SLC5A3-201
HAVANA	gene	ENSG00000233290	lncRNA	AL157944.1	NA	OTTHUMG00000009845.4	ENST00000663002.1	lncRNA	AL157944.1-206
HAVANA	gene	ENSG00000163497	protein_coding	FEV	HGNC:18562	OTTHUMG00000133080.3	ENST00000470119.1	retained_intron	FEV-202
HAVANA	gene	ENSG00000174502	protein_coding	SLC26A9	HGNC:14469	OTTHUMG00000036001.3	ENST00000469392.1	retained_intron	SLC26A9-205
HAVANA	gene	ENSG00000118702	protein_coding	GHRH	HGNC:4265	OTTHUMG00000032413.3	ENST00000373611.2	protein_coding	GHRH-202
HAVANA	gene	ENSG00000122852	protein_coding	SFTPA1	HGNC:10798	OTTHUMG00000018565.6	ENST00000486922.1	retained_intron	SFTPA1-205
