IlmnID	Strand	UCSC_RefGene_Name	UCSC_RefGene_Accession	class
cg21101720	R	ANKRD13B	NM_152345	Promoter
cg23258065	R	TBC1D20	NM_144628	Promoter
cg10811681	R	ZFP36L1;ZFP36L1	NM_004926;NM_004926	Promoter
cg02297063	F	SBNO2;SBNO2	NM_014963;NM_001100122	Promoter
cg00523012	F	IER2	NM_004907	Promoter
cg10205045	R	ANP32A	NM_006305	Promoter
cg23179456	R	ADCY4	NM_139247	Promoter
cg04813880	F	TMEM159;DNAH3	NM_020422;NM_017539	Promoter
cg04111789	R	CCND3;CCND3;CCND3;CCND3	NM_001136017;NM_001136125;NM_001136126;NM_001760	Promoter
cg22409276	R	CHST14	NM_130468	Promoter
cg02616947	R	KAZALD1	NM_030929	Promoter
cg11749010	R			Promoter
cg21570209	R	FOXA3;SYMPK	NM_004497;NM_004819	Promoter
cg25556905	F	ADCY4	NM_139247	Promoter
cg21577472	R	LFNG;LFNG;LFNG;LFNG	NM_001166355;NM_001040167;NM_001040168;NM_002304	Promoter
cg24578857	F	PLD6	NM_178836	Promoter
cg06045337	F	PLEC1;PLEC1;PLEC1;PLEC1;PLEC1;PLEC1;PLEC1;PLEC1	NM_201378;NM_201382;NM_201381;NM_000445;NM_201384;NM_201380;NM_201383;NM_201379	Promoter
cg16215203	F	ADCY4	NM_139247	Promoter
cg02457623	R	ATP2B4;ATP2B4	NM_001001396;NM_001684	Promoter
cg09411730	R	NEAT1	NR_028272	Promoter
cg05522011	R	PRDM8;PRDM8	NM_001099403;NM_020226	Promoter
cg01045337	F	AXIN1;AXIN1	NM_003502;NM_181050	Promoter
cg21435684	R			Promoter
cg23278196	F	ATP5G2;ATP5G2	NM_005176;NM_001002031	Promoter
cg07985890	R	NEAT1	NR_028272	Promoter
cg18222083	F	TMEM106A	NM_145041	Promoter
cg06059056	R	IQSEC1;IQSEC1	NM_001134382;NM_014869	Promoter
cg13631572	F	ADCY4	NM_139247	Promoter
cg16238993	R	SBNO2;SBNO2	NM_014963;NM_001100122	Promoter
cg15469871	F	LOC387646	NR_003525	Promoter
cg21211480	R	TMEM106A	NM_145041	Promoter
cg20650802	R	IER3;IER3	NM_003897;NM_003897	Promoter
cg21927177	F	PLEKHG3	NM_015549	Promoter
cg10938374	F	IER3	NM_003897	Promoter
cg27449131	F	IER3	NM_003897	Promoter
cg13691247	F	ATP5G2;ATP5G2	NM_005176;NM_001002031	Promoter
cg13341668	F	HYAL2;HYAL2	NM_003773;NM_033158	Promoter
cg21139150	F			Promoter
cg07874011	R			Promoter
cg24284369	F	ACACB	NM_001093	Promoter
cg15026277	R	TMEM106A	NM_145041	Promoter
cg18131141	F	TFAP2E	NM_178548	Promoter
cg24685006	F	TFAP2E	NM_178548	Promoter
cg12637942	F	NEAT1	NR_028272	Promoter
cg07906520	F	PPP1R16B	NM_015568	Promoter
cg14567593	R	IER2	NM_004907	Promoter
cg22861279	R	CRIP1	NM_001311	Promoter
cg19093370	F	PLD6	NM_178836	Promoter
cg09921821	F	RGS12;RGS12;RGS12;RGS12	NM_198229;NM_198227;NM_198227;NM_002926	Promoter
cg23338650	R	IER3;IER3	NM_003897;NM_003897	Promoter
cg24940138	R	TMEM106A	NM_145041	Promoter
cg21836275	F	NT5DC3	NM_001031701	Promoter
cg01928902	R	ZFP36L1	NM_004926	Promoter
cg22481960	F	IQSEC1;IQSEC1	NM_001134382;NM_014869	Promoter
cg04145264	R	NEAT1	NR_028272	Promoter
cg19326153	R	ANO6;PLEKHA9;ANO6;ANO6	NM_001142679;NM_015899;NM_001142680;NM_001025356	Promoter
cg11900509	F	ANXA11;ANXA11;ANXA11	NM_145868;NM_145869;NM_001157	Promoter
cg17569842	R	RGS12;RGS12;RGS12	NM_198229;NM_198227;NM_002926	Promoter
cg16340422	F	PLD6	NM_178836	Promoter
cg06133910	R			Promoter
cg12280317	F	S100A11	NM_005620	Promoter
cg25810938	F	ANKMY1;ANKMY1	NM_016552;NM_017844	Promoter
cg21770330	F	NRGN;NRGN	NM_001126181;NM_006176	Promoter
cg18019132	F	NEAT1	NR_028272	Promoter
cg19761502	F	WRB;WRB	NM_004627;NM_001146218	Promoter
cg23885932	F	SBNO2;SBNO2	NM_014963;NM_001100122	Promoter
cg23433889	R	MIR155HG	NR_001458	Promoter
cg10596483	R	JRK;JRK	NM_003724;NM_001077527	Promoter
cg24039697	F	FLJ45983;FLJ45983	NR_024256;NR_024255	Promoter
cg03161476	F	ATP2B4;ATP2B4	NM_001001396;NM_001684	Promoter
cg22984571	R			Promoter
cg21270243	R	ATIC	NM_004044	Promoter
cg24287110	R	KLF6;KLF6;KLF6;KLF6	NR_027653;NM_001160124;NM_001160125;NM_001300	Promoter
cg06933574	F	PITX1	NM_002653	Promoter
cg13612175	F	ZFP36L1	NM_004926	Promoter
cg04797936	R	TUBA1C	NM_032704	Promoter
cg26725201	R			Promoter
cg02737268	F	CDC25B;CDC25B;CDC25B	NM_021873;NM_004358;NM_021872	Promoter
cg08169020	R	ZFP36L1	NM_004926	Promoter
cg21461300	F	RASA3	NM_007368	Promoter
cg18371052	F			Promoter
cg07968770	R	TMEM159;DNAH3	NM_020422;NM_017539	Promoter
cg00092518	F	PHF11;PHF11;PHF11	NM_001040443;NM_001040444;NM_001040444	Promoter
cg27011480	R	HLA-L	NR_027822	Promoter
cg23523668	R			Promoter
cg06744119	F	C10orf116;AGAP11;AGAP11	NM_006829;NM_133447;NM_133447	Promoter
cg26170066	R	HSPA1B	NM_005346	Promoter
cg22821355	F	WDR1;WDR1	NM_005112;NM_017491	Promoter
cg08362102	F	ANP32A	NM_006305	Promoter
cg14565781	F	BTBD19	NM_001136537	Promoter
cg12120729	F			Promoter
cg14315558	R	MIR155HG	NR_001458	Promoter
cg23703963	R	CRIP1;CRIP1	NM_001311;NM_001311	Promoter
cg19864130	F	SBNO2;SBNO2	NM_014963;NM_001100122	Promoter
cg14287235	F	ADCY4	NM_139247	Promoter
cg01176433	R			Promoter
cg03364683	F	DDX60L	NM_001012967	Promoter
cg06516150	R	ACACB	NM_001093	Promoter
cg22466678	F			Promoter
cg15633390	R	EIF4E;EIF4E;EIF4E;EIF4E;EIF4E	NM_001130679;NM_001968;NM_001968;NM_001130678;NM_001130679	Promoter
cg03231163	F	RINL	NM_198445	Promoter
cg23780110	F	ASXL2	NM_018263	Promoter
cg04879832	F	CYBA;CYBA	NM_000101;NM_000101	Promoter
cg19458020	R	RARA;RARA;RARA	NM_001145302;NM_000964;NM_001145301	Promoter
cg23995459	F	ZYG11B	NM_024646	Promoter
cg23855505	F	CHST11	NM_018413	Promoter
cg08750951	R	HERC5	NM_016323	Promoter
cg16301004	R	ITPRIP	NM_033397	Promoter
cg20943039	R			Promoter
cg12702981	R	NR1I2;NR1I2;NR1I2	NM_033013;NM_003889;NM_022002	Promoter
cg06939851	R	PYCR2	NM_013328	Promoter
cg01428378	R	CCDC62;CCDC62;CCDC62	NM_201435;NR_027918;NM_032573	Promoter
cg08599792	R			Promoter
cg12454169	F	LCLAT1;LCLAT1	NM_182551;NM_001002257	Promoter
cg12155547	R			Promoter
cg00566999	R	TESK2	NM_007170	Promoter
cg15972294	F	GNAI2	NM_002070	Promoter
cg01916088	R	FOXP4;FOXP4;FOXP4	NM_001012427;NM_138457;NM_001012426	Promoter
cg06430061	R	C5orf37	NM_001099271	Promoter
cg02976309	R	TRAM2	NM_012288	Promoter
cg07207099	R	USP4;USP4;C3orf62	NM_003363;NM_199443;NM_198562	Promoter
cg03178838	R	SBNO2;SBNO2	NM_014963;NM_001100122	Promoter
cg27080725	F	TSC22D4	NM_030935	Promoter
cg14508358	F			Promoter
cg13759674	R	GRIN1;GRIN1;GRIN1	NM_000832;NM_007327;NM_021569	Promoter
cg23878564	F	TNK1	NM_003985	Promoter
cg01665212	R	IER3	NM_003897	Promoter
cg21053323	F	SUMO3	NM_006936	Promoter
cg08322244	F	VAMP2	NM_014232	Promoter
cg15555970	F	TGIF1;TGIF1;TGIF1;TGIF1;TGIF1;TGIF1;TGIF1;TGIF1	NM_174886;NM_173208;NM_173210;NM_170695;NM_173209;NM_173211;NM_003244;NM_173207	Promoter
cg02449103	F	C6orf47	NM_021184	Promoter
cg24574963	R			Promoter
cg19548479	R	TMEM106A	NM_145041	Promoter
cg03748603	F			Promoter
cg12527684	R	EIF4E;EIF4E;EIF4E;EIF4E;EIF4E	NM_001130679;NM_001968;NM_001968;NM_001130678;NM_001130679	Promoter
cg05589489	R			Promoter
cg01805480	R	FBRSL1	NM_001142641	Promoter
cg04993279	R			Promoter
cg16643088	F	CSRNP1	NM_033027	Promoter
cg15920975	R			Promoter
cg22635676	F	SNED1	NM_001080437	Promoter
cg22663872	R			Promoter
cg13885965	R	IER3	NM_003897	Promoter
cg27290624	R			Promoter
cg02711397	R	RINL	NM_198445	Promoter
