IlmnID	Strand	UCSC_RefGene_Name	UCSC_RefGene_Accession	class
cg02459042	F	NXN	NM_022463	Body
cg20098471	R	RASSF10	NM_001080521	Body
cg06419732	F	CDK18;CDK18;CDK18	NM_002596;NM_212502;NM_212503	Body
cg23401796	R	TRAPPC9;TRAPPC9	NM_001160372;NM_031466	Body
cg04115680	R	SRRM3	NM_001110199	Body
cg14294859	R	SLC25A25;SLC25A25;SLC25A25;SLC25A25	NM_001006642;NM_052901;NM_001006641;NM_001006643	Body
cg09893465	R	INPP5A	NM_005539	Body
cg12248614	R	SPTBN4	NM_020971	Body
cg05905176	R	TNFAIP8L3	NM_207381	Body
cg15375772	R	TPO;TPO;TPO;TPO	NM_175719;NM_000547;NM_175721;NM_175722	Body
cg06249604	F	RNF39;RNF39	NM_170769;NM_025236	Body
cg05415131	R	DTX4	NM_015177	Body
cg27420224	F	HNF4A;HNF4A;HNF4A;HNF4A;HNF4A;HNF4A	NM_178850;NM_001030003;NM_178849;NM_001030004;NM_175914;NM_000457	Body
cg16779839	R	BAHCC1	NM_001080519	Body
cg14204784	R	LMX1B	NM_002316	Body
cg06636541	R	BAHCC1	NM_001080519	Body
cg25547580	F	ONECUT2	NM_004852	Body
cg01779771	R	RIMS2;RIMS2	NM_014677;NM_001100117	Body
cg05650453	R	CAMTA1	NM_015215	Body
cg06962944	R	TOX2;TOX2;TOX2	NM_001098796;NM_001098797;NM_032883	Body
cg26354017	F	PM20D1	NM_152491	Body
cg07576409	F	ZNF703	NM_025069	Body
cg25622366	F	OTX1	NM_014562	Body
cg22169990	F	AGAP3;AGAP3	NM_001042535;NM_031946	Body
cg17768491	R	SPTBN4	NM_020971	Body
cg13152952	R	ANK1;ANK1;ANK1;ANK1;ANK1	NM_020476;NM_020475;NM_001142446;NM_020477;NM_000037	Body
cg18236877	F	CASZ1;CASZ1	NM_017766;NM_001079843	Body
cg25287257	R	MNX1;MNX1	NM_001165255;NM_005515	Body
cg01697719	F	TBX1;TBX1;TBX1	NM_080647;NM_005992;NM_080646	Body
cg07703462	R	SSPO	NM_198455	Body
cg05353869	R	KLHL35	NM_001039548	Body
cg16876647	R	ZFP36L2	NM_006887	Body
cg06747432	F	CCDC8;CCDC8	NM_032040;NM_032040	Body
cg11976222	R	BAHCC1	NM_001080519	Body
cg22399133	R	CRYGD;CRYGD	NM_006891;NM_006891	Body
cg26975184	R	DENND2A	NM_015689	Body
cg07035145	R	PYGL;PYGL	NM_001163940;NM_002863	Body
cg12396325	F	RIMS2;RIMS2	NM_014677;NM_001100117	Body
cg21126344	F	SOX9	NM_000346	Body
cg26777729	F	SGEF	NM_015595	Body
cg06560887	F	LMO2;LMO2;LMO2	NM_001142315;NM_001142316;NM_005574	Body
cg11601252	R	LBXCOR1	NM_001031807	Body
cg17489690	F	PRDM16;PRDM16	NM_022114;NM_199454	Body
cg03011535	R	TOX2;TOX2;TOX2;TOX2;TOX2	NM_001098796;NM_001098797;NM_032883;NM_001098796;NM_032883	Body
cg15628518	R	PLEC1;PLEC1;PLEC1;PLEC1	NM_000445;NM_201378;NM_201379;NM_201380	Body
cg07482202	R	FBXL16	NM_153350	Body
cg26228266	R	DLGAP3	NM_001080418	Body
cg04401986	F	FGF5;FGF5	NM_033143;NM_004464	Body
cg13773247	F	PKDCC	NM_138370	Body
cg10002850	R	EGFR;EGFR;EGFR;EGFR	NM_201283;NM_201284;NM_201282;NM_005228	Body
cg05797770	F	EPHA2	NM_004431	Body
cg12391352	F	ANKS1B;ANKS1B;ANKS1B	NM_020140;NM_152788;NM_181670	Body
cg13459498	R	TOX2;TOX2;TOX2;TOX2;TOX2	NM_001098796;NM_001098797;NM_032883;NM_001098796;NM_032883	Body
cg11957331	F	TMEM145	NM_173633	Body
cg13482308	R	PAX5	NM_016734	Body
cg06670039	R	SNX29	NM_001080530	Body
cg20739526	R	DPP6;DPP6;DPP6	NM_001936;NM_130797;NM_001039350	Body
cg20985450	F	ZIC5	NM_033132	Body
cg15877520	R	RNF39;RNF39	NM_170769;NM_025236	Body
cg14447606	F	CYP26B1	NM_019885	Body
cg22853713	R	CASZ1;CASZ1	NM_017766;NM_001079843	Body
cg15550100	R	ATG4B;ATG4B	NM_013325;NM_178326	Body
cg22474464	R	NKX2-2	NM_002509	Body
cg16781647	R	EMX1	NM_004097	Body
cg06807993	R	MIR657;AATK;MIR338	NR_030394;NM_001080395;NR_029897	Body
cg01543583	R	C14orf149	NM_144581	Body
cg03248767	R	DHRS7C	NM_001105571	Body
cg03025986	F	TSSC1	NM_003310	Body
cg13434638	R	ITGA11	NM_001004439	Body
cg00804179	F	IQSEC1	NM_001134382	Body
cg01492330	F	KRT3	NM_057088	Body
cg07382347	R	RNF39;RNF39	NM_170769;NM_025236	Body
cg03806095	F	GPR124	NM_032777	Body
cg01524174	F	SOX9	NM_000346	Body
cg11881754	F	SRRM3	NM_001110199	Body
cg18567174	F	LBXCOR1	NM_001031807	Body
cg19554037	R	TOLLIP	NM_019009	Body
cg12850078	R	LOC254559	NR_015411	Body
cg23792485	R	HNF4A;HNF4A;HNF4A	NM_175914;NM_001030004;NM_001030003	Body
cg05130679	R	AMOTL1	NM_130847	Body
cg14696311	F	RASA3	NM_007368	Body
cg01620164	R	FIGN	NM_018086	Body
cg09521703	R	SHISA7	NM_001145176	Body
cg12014547	R	NELL1;NELL1	NM_006157;NM_201551	Body
cg13185413	F	RNF39;RNF39	NM_170769;NM_025236	Body
cg25095032	F	DDAH2	NM_013974	Body
cg02286091	F	BHMT;BHMT	NM_001713;NM_001713	Body
cg24181266	F	DOCK6	NM_020812	Body
cg09776772	F	MAD1L1;MAD1L1;MAD1L1	NM_003550;NM_001013837;NM_001013836	Body
cg04343927	F	LOC100130872-SPON2;SPON2;SPON2	NR_033182;NM_012445;NM_001128325	Body
cg07037412	R	CACNA1H;CACNA1H	NM_021098;NM_001005407	Body
cg01102073	R	GATA2;GATA2;GATA2	NM_001145661;NM_032638;NM_001145662	Body
cg15975865	F	GYPC;GYPC;GYPC;GYPC	NM_016815;NM_002101;NM_002101;NM_016815	Body
cg13918754	R	RNF39;RNF39	NM_170769;NM_025236	Body
cg25360181	F	C6orf223	NM_153246	Body
cg04797323	R	SOCS2	NM_003877	Body
cg25428929	R	ATG4B;ATG4B	NM_013325;NM_178326	Body
cg24245418	F	NPY	NM_000905	Body
cg07974511	F	OTX1	NM_014562	Body
cg08193650	R	ZFP36L2	NM_006887	Body
cg21635870	R	GRIK2;GRIK2;GRIK2;GRIK2;GRIK2;GRIK2	NM_175768;NM_021956;NM_175768;NM_001166247;NM_021956;NM_001166247	Body
cg12511214	R	CACNA1I;CACNA1I	NM_001003406;NM_021096	Body
cg14936968	F	IL17RD	NM_017563	Body
cg00447970	R	RAB11FIP4	NM_032932	Body
