probe	SRR7646229	SRR7646230	SRR7646231	SRR7646232	SRR7646233	SRR7646234	SRR7646235	SRR7646236	SRR7646237	SRR7646238	SRR7646239	SRR7646240	SRR7646241	SRR7646242	SRR7646243	SRR7646244	SRR7646245	SRR7646246	SRR7646247	SRR7646248	SRR7646249	SRR7646250	SRR7646251	SRR7646252	SRR7646253	SRR7646254	SRR7646255	SRR7646256	SRR7646257	SRR7646258
cg21101720	-5.72753505267048	-5.23306180970171	-5.53671889367673	-3.77627103633377	NA	NA	-5.68423230160365	-2.50267370039447	NA	2.07313195886049	NA	1.56047908577301	NA	NA	4.13812301642179	NA	4.13182019550686	5.65714316978721	-5.83955276942742	-5.11358430151108	NA	-5.52776100307607	-0.815033387584786	-5.68737949534037	-2.53253918705036	0.297146152413586	NA	NA	NA	NA
cg23258065	-5.58798871417236	-14.2579831608758	-14.2579831608758	-5.60909565825373	NA	NA	-13.1017628228371	-14.2579831608758	NA	-5.84482219972691	NA	-12.780756220734	NA	NA	-4.58605767986166	NA	-5.68347359609436	-5.27832440480486	-5.52981718494967	-13.0558032306829	NA	-5.20597604997035	-5.17481748090098	-5.37899400628792	-5.4977952998945	-5.64029800232139	NA	NA	NA	NA
cg10811681	-5.68739447110412	-5.73103102505358	-5.35451439035999	-5.38046060960525	NA	NA	-6.06921675895252	-5.63916645543953	NA	1.2127474807318	NA	-1.89971622053857	NA	NA	3.30331458043171	NA	4.28985063881155	-4.80434284485682	-5.63393814677611	-5.8070135089092	NA	-6.39292620793688	-0.0781109368217288	-5.62597957339679	-4.74310913565825	3.68353115243111	NA	NA	NA	NA
cg02297063	-6.02479256077088	-0.0993525159531415	-5.07469273768897	-0.00585993906483617	NA	NA	-4.69772633244342	-5.8067690967619	NA	1.78592412517462	NA	1.89646775969053	NA	NA	-6.39511563509123	NA	-5.96983951528965	5.40147305644743	-6.2007823830844	-0.627697442315581	NA	-5.94791203873446	-0.457164858107826	-6.03718854288716	0.723493053973182	-5.88431379359515	NA	NA	NA	NA
cg00523012	-5.76908813029381	-6.20410234620677	-6.07592263732511	-3.70611291728971	NA	NA	-5.83951569127592	-6.06995214298947	NA	-5.91940353947444	NA	-5.68865317945638	NA	NA	2.72476926562136	NA	3.15882570070371	-6.10571513787781	-5.97705721707867	-5.47163277908152	NA	-5.84988508707665	-5.97238818389475	-5.8696948257209	-2.35877757334644	5.08108717662615	NA	NA	NA	NA
cg10205045	-5.45325386062821	-4.53987375467542	-4.78179515329427	-4.26183767676652	NA	NA	-4.96625077591812	-4.89885124555128	NA	2.11998836670326	NA	0.674811788564624	NA	NA	3.26969154262789	NA	4.3837950665525	4.48237928463191	-3.02703938820363	-5.40526095337286	NA	-4.5582755950643	-4.74414655001889	-4.72886707138245	-5.15103084621079	-0.248769018411561	NA	NA	NA	NA
cg23179456	-5.42721517111984	-4.38549902648657	-0.469674847725623	-4.96034837968942	NA	NA	-4.97727041600291	-0.999060442040359	NA	0.499312480384856	NA	0.235391618821871	NA	NA	4.43062707493003	NA	-1.52219536172376	4.95033949049059	-5.14439262257974	-5.1971089185117	NA	-1.69274398000364	4.33210840206473	-4.64649319023825	-5.08480853710454	-4.85894680484517	NA	NA	NA	NA
cg04813880	-1.97832003231956	-4.0782882651604	1.01578428397127	-1.54870222104673	NA	NA	2.48989881459847	-3.16471905436162	NA	3.18877792722575	NA	4.02334972992999	NA	NA	4.53858570324569	NA	4.7539543670411	4.87468043840116	-5.59599363938148	2.13355376753029	NA	3.61129814785109	4.11894547786414	-5.39256597324803	2.04421054078625	2.71954750766224	NA	NA	NA	NA
cg04111789	-5.19996946402702	-0.458117196369184	1.25365030951091	3.19779930451661	NA	NA	-2.08212458372886	0.212927317112313	NA	1.89489391824306	NA	3.06110001305484	NA	NA	4.10876217904804	NA	4.08545806016208	4.83135343015707	-1.61755316795376	-4.65929226510061	NA	-4.51923634134287	4.5538623678875	3.03504822433049	-4.19333360201271	-4.12214947886696	NA	NA	NA	NA
cg22409276	-6.09261770714291	-5.75141327362524	-4.05314240988308	-2.37443748450564	NA	NA	-5.92400734511317	-5.77373027104749	NA	2.03308191283571	NA	1.07995051160576	NA	NA	3.20613796886856	NA	0.852191270389942	2.80843778291289	-5.90916091600666	-5.803377715749	NA	-5.75548216493146	-0.0219906455708545	-5.52477356775795	-5.6298191766777	-6.21719078972914	NA	NA	NA	NA
